[0.00 - 5.74]  Applause
[6601.38 - 6603.38]  The whole world is in the USA
[6603.38 - 6605.38]  Come on dudes
[6605.38 - 6606.38]  Let's get it on
[6606.38 - 6608.38]  If we proceed in the town
[6608.38 - 6610.38]  Back to the town
[6610.38 - 6613.38]  We're in America man
[6613.38 - 6617.38]  We're in a American man
[6617.38 - 6619.38]  We're coming to your town
[6619.38 - 6621.38]  We're in a good party at town
[6621.38 - 6623.38]  We're in a American man
[6640.38 - 6642.38]  We're in America man
[6644.38 - 6646.38]  We're in a American man
[6646.38 - 6649.38]  We're coming to your town
[6649.38 - 6653.38]  We're in a American man
[6655.38 - 6657.38]  We're in a American man
[6659.38 - 6661.38]  We're in a American man
[6661.38 - 6664.38]  We're coming to your town
[6664.38 - 6669.38]  We're in a American man
[6669.38 - 6672.38]  We're in a American man
[6672.38 - 6677.38]  We're in America, man.
[6677.38 - 6682.38]  We're in America, man.
[6702.38 - 6704.38]  You show us everything you got.
[6704.38 - 6707.38]  Keep testing in the wrong guess heart.
[6707.38 - 6712.38]  Your drivers' wild will try to crazy.
[6712.38 - 6717.38]  You say you want to go from this fair.
[6717.38 - 6721.38]  And you say you want to go from this fair.
[6721.38 - 6725.38]  And you say you want to go from this fair.
[6725.38 - 6729.38]  And you say you want to go from this fair.
[6730.38 - 6731.88]  And you say you want to go from this fair.
[6732.88 - 6735.88]  And you say you want to go from this fair.
[6735.88 - 6738.38]  In part. Just be giving it to me.
[6738.38 - 6740.38]  You try this wild will try to crazy.
[6743.38 - 6746.38]  You keep on trying you.
[6749.38 - 6752.38]  But a rock and roll bar.
[6752.38 - 6754.38]  In part.
[6754.38 - 6756.88]  Every day I,
[6756.88 - 6758.88]  I can roll all night
[6760.88 - 6762.88]  Everybody everyday
[6762.88 - 6764.88]  I can roll all night
[6766.88 - 6768.88]  Everybody everyday
[6768.88 - 6772.88]  I want a rock and roll all night
[6772.88 - 6774.88]  Everybody everyday
[6778.88 - 6780.88]  Keep saying you become a wild
[6781.88 - 6784.88]  You look amazing and I like your style
[6784.88 - 6786.88]  You travel as wild
[6786.88 - 6788.88]  You try to create it
[6792.88 - 6794.88]  You choose everything you got
[6794.88 - 6796.88]  You baby baby it's one of the lies
[6798.88 - 6800.88]  You travel as wild
[6800.88 - 6802.88]  You try to create it
[6804.88 - 6806.88]  You keep on shouting
[6806.88 - 6808.88]  You keep on shouting
[6808.88 - 6810.88]  Yea
[6810.88 - 6812.88]  I
[6812.88 - 6814.88]  want a rock and roll all night
[6816.88 - 6818.88]  Everybody everyday
[6820.88 - 6822.88]  Uh
[6822.88 - 6824.88]  bye
[6824.88 - 6826.88]  Everybody everyday
[6826.88 - 6828.88]  I want a rock and roll all night
[6830.88 - 6832.88]  Everybody everyday
[6832.88 - 6836.88]  I want a rock and roll all night
[6836.88 - 6842.74]  About the있는
[6896.88 - 6913.88]  You give a shout of you, give a shout of it.
[6943.88 - 6953.88]  You give a shout of you, give a shout of it.
[7003.88 - 7013.88]  You give a shout of you, give a shout of it.
[7033.88 - 7043.88]  You give a shout of you, give a shout of you.
[7063.88 - 7073.88]  You give a shout of you, give a shout of you.
[7093.88 - 7099.88]  You give a shout of you.
